iter	Passed	Remaining
477	4166	4550
478	4174	4540
479	4181	4530
480	4188	4519
481	4196	4510
482	4204	4500
483	4212	4490
484	4219	4481
485	4227	4471
486	4234	4461
487	4242	4451
488	4250	4441
489	4257	4431
490	4265	4421
491	4273	4412
492	4280	4402
493	4287	4392
494	4297	4384
495	4305	4374
496	4313	4365
497	4320	4355
498	4327	4345
499	4335	4335
500	4343	4325
501	4351	4316
502	4359	4307
503	4368	4299
504	4377	4290
505	4386	4282
506	4395	4274
507	4405	4266
508	4415	4259
509	4424	4251
510	4433	4242
511	4441	4233
512	4450	4224
513	4458	4215
514	4466	4206
515	4476	4198
516	4484	4189
517	4492	4179
518	4499	4170
519	4507	4160
520	4515	4151
521	4522	4141
522	4530	4131
523	4538	4122
524	4545	4112
525	4552	4102
526	4560	4093
527	4568	4083
528	4575	4074
529	4583	4064
530	4591	4055
531	4598	4045
532	4605	4035
533	4613	4025
534	4621	4016
535	4628	4007
536	4636	3997
537	4644	3988
538	4654	3981
539	4662	3972
540	4670	3962
541	4678	3953
542	4686	3944
543	4695	3935
544	4703	3927
545	4713	3919
546	4723	3911
547	4732	3903
548	4742	3895
549	4751	3887
550	4759	3878
551	4768	3870
552	4776	3861
553	4785	3852
554	4794	3843
555	4802	3835
556	4811	3827
557	4821	3818
558	4829	3810
559	4839	3802
560	4851	3796
561	4860	3787
562	4869	3779
563	4878	3771
564	4887	3763
565	4897	3755
566	4906	3747
567	4915	3738
568	4924	3730
569	4933	3721
570	4941	3712
571	4950	3704
572	4958	3695
573	4966	3686
574	4974	3677
575	4983	3668
576	4991	3659
577	5000	3650
578	5007	3641
579	5016	3632
580	5025	3624
581	5033	3615
582	5040	3605
583	5048	3596
584	5056	3586
585	5063	3577
586	5071	3567
587	5078	3558
588	5086	3549
589	5093	3539
590	5102	3530
591	5109	3521
592	5117	3512
593	5124	3502
594	5132	3493
595	5139	3483
596	5147	3474
597	5155	3465
598	5162	3456
599	5170	3447
600	5177	3437
601	5185	3428
602	5192	3418
603	5200	3409
604	5209	3401
605	5217	3391
606	5225	3382
607	5232	3373
608	5240	3364
609	5247	3355
610	5255	3345
611	5262	3336
612	5270	3327
613	5277	3317
614	5285	3308
615	5292	3299
616	5299	3289
617	5307	3280
618	5315	3271
619	5322	3262
620	5330	3253
621	5338	3244
622	5345	3234
623	5353	3225
624	5363	3217
625	5371	3209
626	5379	3200
627	5387	3191
628	5394	3181
629	5404	3173
630	5412	3164
631	5419	3155
632	5427	3146
633	5435	3137
634	5442	3128
635	5450	3119
636	5458	3110
637	5467	3102
638	5475	3093
639	5483	3084
640	5490	3075
641	5498	3066
642	5506	3057
643	5514	3048
644	5522	3039
645	5530	3030
646	5538	3021
647	5547	3013
648	5555	3004
649	5562	2995
650	5570	2986
651	5578	2977
652	5585	2968
653	5595	2960
654	5603	2951
655	5611	2942
656	5619	2933
657	5627	2925
658	5636	2916
659	5644	2907
660	5652	2899
661	5660	2890
662	5668	2881
663	5676	2872
664	5685	2863
665	5695	2856
666	5702	2847
667	5711	2838
668	5719	2829
669	5727	2820
670	5735	2812
671	5744	2803
672	5752	2795
673	5760	2786
674	5769	2777
675	5777	2769
676	5787	2761
677	5795	2752
678	5804	2744
679	5812	2735
680	5821	2726
681	5830	2718
682	5839	2710
683	5847	2701
684	5857	2693
685	5865	2684
686	5874	2676
687	5882	2667
688	5890	2658
689	5897	2649
690	5905	2640
691	5913	2632
692	5921	2623
693	5928	2614
694	5936	2605
695	5943	2596
696	5951	2587
697	5959	2578
698	5968	2570
699	5975	2561
700	5983	2552
701	5992	2543
702	5999	2534
703	6006	2525
704	6014	2516
705	6021	2507
706	6029	2498
707	6037	2489
708	6044	2480
709	6052	2471
710	6059	2462
711	6067	2454
712	6074	2445
713	6082	2436
714	6089	2427
715	6097	2418
716	6105	2409
717	6112	2400
718	6120	2392
719	6127	2383
720	6135	2374
721	6143	2365
722	6151	2356
723	6160	2348
724	6168	2339
725	6176	2330
726	6184	2322
727	6192	2313
728	6201	2305
729	6210	2296
730	6218	2288
731	6226	2279
732	6234	2270
733	6242	2262
734	6250	2253
735	6258	2244
736	6266	2236
737	6274	2227
738	6283	2219
739	6291	2210
740	6300	2202
741	6308	2193
742	6317	2185
743	6325	2176
744	6333	2167
745	6343	2159
746	6352	2151
747	6361	2143
748	6369	2134
749	6377	2125
750	6385	2117
751	6394	2108
752	6402	2100
753	6411	2091
754	6419	2083
755	6427	2074
756	6435	2065
757	6443	2057
758	6451	2048
759	6459	2039
760	6467	2031
761	6476	2022
762	6483	2013
763	6492	2005
764	6500	1996
765	6508	1988
766	6516	1979
767	6524	1970
768	6533	1962
769	6541	1954
770	6549	1945
771	6556	1936
772	6564	1927
773	6572	1919
774	6580	1910
775	6588	1901
776	6595	1892
777	6603	1884
778	6611	1875
779	6619	1866
780	6626	1858
781	6651	1854
782	6665	1847
783	6677	1839
784	6687	1831
785	6696	1823
786	6708	1815
787	6721	1808
788	6731	1800
789	6741	1792
790	6751	1783
791	6761	1775
792	6771	1767
793	6781	1759
794	6791	1751
795	6801	1742
796	6811	1734
797	6822	1726
798	6832	1718
799	6843	1710
800	6853	1702
801	6863	1694
802	6873	1686
803	6884	1678
804	6894	1670
805	6904	1661
806	6916	1654
807	6926	1645
808	6936	1637
809	6949	1630
810	6960	1622
811	6970	1613
812	6980	1605
813	6990	1597
814	7000	1588
815	7009	1580
816	7019	1572
817	7028	1563
818	7038	1555
819	7047	1546
820	7056	1538
821	7065	1530
822	7076	1521
823	7085	1513
824	7095	1505
825	7107	1497
826	7117	1488
827	7130	1481
828	7140	1472
829	7149	1464
830	7158	1455
831	7168	1447
832	7178	1439
833	7188	1430
834	7198	1422
835	7212	1414
836	7222	1406
837	7232	1398
838	7244	1390
839	7255	1381
840	7266	1373
841	7281	1366
842	7291	1357
843	7307	1350
844	7316	1342
845	7326	1333
846	7335	1325
847	7345	1316
848	7355	1308
849	7366	1299
850	7377	1291
851	7386	1283
852	7396	1274
853	7406	1266
854	7416	1257
855	7426	1249
856	7436	1240
857	7446	1232
858	7456	1223
859	7466	1215
860	7477	1207
861	7488	1198
862	7498	1190
863	7507	1181
864	7518	1173
865	7528	1164
866	7538	1156
867	7548	1147
868	7558	1139
869	7568	1130
870	7578	1122
871	7588	1113
872	7598	1105
873	7610	1097
874	7621	1088
875	7630	1080
876	7640	1071
877	7650	1062
878	7662	1054
879	7672	1046
880	7682	1037
881	7691	1028
882	7700	1020
883	7709	1011
884	7723	1003
885	7733	995
886	7743	986
887	7754	977
888	7764	969
889	7776	961
890	7788	952
891	7804	944
892	7817	936
893	7830	928
894	7839	919
895	7851	911
896	7862	902
897	7872	894
898	7885	885
899	7895	877
900	7905	868
901	7920	860
902	7930	851
903	7940	843
904	7950	834
905	7960	825
906	7969	817
907	7979	808
908	7989	799
909	7999	791
910	8009	782
911	8019	773
912	8031	765
913	8041	756
914	8051	747
915	8060	739
916	8070	730
917	8079	721
918	8089	712
919	8099	704
920	8108	695
921	8118	686
922	8128	678
923	8138	669
924	8147	660
925	8156	651
926	8166	643
927	8176	634
928	8185	625
929	8195	616
930	8205	608
931	8217	599
932	8227	590
933	8237	582
934	8246	573
935	8256	564
936	8265	555
937	8275	546
938	8284	538
939	8293	529
940	8310	521
941	8317	512
942	8325	503
943	8332	494
944	8340	485
945	8348	476
946	8355	467
947	8363	458
948	8371	449
949	8379	441
950	8386	432
951	8394	423
952	8404	414
953	8412	405
954	8420	396
955	8430	388
956	8440	379
957	8448	370
958	8456	361
959	8463	352
960	8471	343
961	8478	334
962	8486	326
963	8493	317
964	8501	308
965	8509	299
966	8516	290
967	8524	281
968	8532	272
969	8539	264
970	8547	255
971	8555	246
972	8564	237
973	8572	228
974	8581	220
975	8589	211
976	8597	202
977	8605	193
978	8612	184
979	8619	175
980	8627	167
981	8635	158
982	8642	149
983	8650	140
984	8657	131
985	8665	123
986	8672	114
987	8680	105
988	8687	96
989	8695	87
990	8702	79
991	8710	70
992	8717	61
993	8725	52
994	8733	43
995	8741	35
996	8749	26
997	8758	17
998	8765	8
999	8773	0
