iter	RMSE
706	74194.66083
707	74159.74008
708	74119.71138
709	74091.37625
710	74057.55537
711	74035.83665
712	73992.00619
713	73961.32697
714	73946.2136
715	73912.52037
716	73882.47695
717	73852.78132
718	73817.34544
719	73798.17143
720	73777.47159
721	73748.5719
722	73713.6527
723	73688.4329
724	73666.01261
725	73645.60708
726	73614.99817
727	73591.27067
728	73560.09415
729	73548.89629
730	73516.4118
731	73486.77767
732	73468.09023
733	73451.03265
734	73427.63739
735	73405.44825
736	73388.54647
737	73350.23335
738	73325.83685
739	73298.20246
740	73268.81128
741	73246.69546
742	73214.12446
743	73179.46678
744	73145.93414
745	73128.55568
746	73101.57958
747	73076.62199
748	73052.35783
749	73029.90817
750	73011.78863
751	72971.0608
752	72950.02573
753	72927.42051
754	72891.80893
755	72863.63458
756	72824.65303
757	72812.05771
758	72785.48778
759	72748.38395
760	72720.41517
761	72695.58183
762	72659.56732
763	72624.29911
764	72586.74448
765	72558.40304
766	72524.06507
767	72494.80081
768	72462.72263
769	72427.24369
770	72397.25953
771	72376.45242
772	72338.25074
773	72311.62431
774	72276.57342
775	72253.27782
776	72224.00322
777	72197.02697
778	72176.62495
779	72141.57378
780	72117.26825
781	72082.82285
782	72052.04424
783	72022.94074
784	72001.17546
785	71974.4339
786	71947.5487
787	71921.74106
788	71886.07182
789	71841.8203
790	71821.86559
791	71796.66531
792	71776.45146
793	71757.36621
794	71735.03189
795	71724.97776
796	71697.67758
797	71670.17721
798	71635.19419
799	71617.6529
800	71591.21726
801	71551.91219
802	71535.17968
803	71508.2338
804	71473.33676
805	71457.92278
806	71430.52078
807	71409.26877
808	71379.84364
809	71348.38004
810	71315.11295
811	71296.90086
812	71264.44859
813	71247.16368
814	71229.60795
815	71202.75995
816	71185.5755
817	71154.40132
818	71142.3799
819	71111.02095
820	71087.19171
821	71068.08078
822	71034.06227
823	71006.10441
824	70987.37201
825	70972.8634
826	70947.46663
827	70929.74767
828	70893.42238
829	70878.46882
830	70857.90384
831	70832.43544
832	70806.87951
833	70771.88449
834	70750.45037
835	70721.5673
836	70695.10297
837	70669.99822
838	70643.33063
839	70606.49678
840	70587.47505
841	70563.98109
842	70536.54441
843	70519.52691
844	70498.59549
845	70466.87522
846	70439.65654
847	70414.30156
848	70389.28502
849	70366.67737
850	70342.87452
851	70319.84125
852	70297.32176
853	70277.30215
854	70239.24076
855	70201.40012
856	70174.87553
857	70146.66837
858	70133.95389
859	70108.48711
860	70077.50521
861	70053.72142
862	70029.65633
863	70009.24276
864	69985.82874
865	69950.32234
866	69922.07903
867	69886.47039
868	69861.56
869	69837.31225
870	69810.09296
871	69783.33443
872	69757.95175
873	69727.69849
874	69704.89914
875	69678.94572
876	69646.14845
877	69627.53915
878	69597.87176
879	69574.52252
880	69554.20888
881	69541.03514
882	69507.74721
883	69482.64154
884	69467.3109
885	69434.49582
886	69409.37487
887	69375.7291
888	69341.9374
889	69305.37265
890	69286.88209
891	69265.47212
892	69243.13224
893	69214.91311
894	69191.40787
895	69177.77895
896	69151.89205
897	69135.44578
898	69122.96182
899	69096.86786
900	69081.52316
901	69068.00814
902	69041.97119
903	69020.15732
904	68992.45591
905	68964.93656
906	68945.78113
907	68919.96156
908	68906.32664
909	68887.01311
910	68870.27095
911	68845.46567
912	68827.79587
913	68804.37121
914	68783.10125
915	68772.59413
916	68751.16475
917	68732.93314
918	68705.48272
919	68672.2661
920	68653.91976
921	68635.37226
922	68617.15876
923	68590.61035
924	68573.08602
925	68553.55876
926	68530.52578
927	68504.86785
928	68490.18967
929	68458.25604
930	68431.22024
931	68404.66744
932	68380.43324
933	68362.46228
934	68347.46476
935	68329.98575
936	68301.19641
937	68273.84885
938	68241.2177
939	68220.54542
940	68196.80613
941	68164.921
942	68150.5957
943	68118.59636
944	68094.10283
945	68077.28583
946	68048.12281
947	68031.34689
948	68004.99926
949	67982.4832
950	67968.60924
951	67950.5652
952	67913.74994
953	67888.6868
954	67861.61973
955	67833.83118
956	67797.94179
957	67772.31972
958	67761.42327
959	67737.83098
960	67721.39096
961	67689.46958
962	67667.54365
963	67657.78983
964	67637.41588
965	67622.77651
966	67590.98961
967	67571.85282
968	67554.85882
969	67537.35648
970	67498.87892
971	67480.01952
972	67463.99472
973	67431.67026
974	67401.70697
975	67380.45671
976	67343.75276
977	67320.40295
978	67291.65915
979	67259.40716
980	67222.44389
981	67195.50108
982	67179.03547
983	67155.77276
984	67126.36599
985	67106.56564
986	67075.47881
987	67061.39715
988	67036.03402
989	67010.32858
990	66981.42376
991	66961.07539
992	66926.01238
993	66893.24411
994	66855.0521
995	66840.14415
996	66809.18665
997	66793.41709
998	66782.63296
999	66758.36911
